Name,Description,GoLive,Days
Telegram ICO (TON),Ultra-Fast Blockchain technology from Telegram messenger,TBD,64 days ago
MyTrackNet (Pre-ICO),Finding network,"Dec 14, 2017",47 days ago
CrowdWiz,Self-governed investment ecosystem ,"Nov 20, 2017",71 days ago
GameMachine,Connecting Game Industry and Cryptoeconomy,"Dec 14, 2017",47 days ago
CRYCASH,Decentralized Gaming Ecosystem,"Dec 12, 2017",49 days ago
Jincor,Smart contracts and cryptocurrency transactions for any business,"Dec 01, 2017",60 days ago
Play2Live (Pre-ICO),Streaming Platform for Gamers and eSports Fans,"Jan 25, 2018",5 days ago
LalaWorld,Ecosystem for the migrants and their unbanked families,"Jan 05, 2018",25 days ago
GIZA Device (Pre-ICO),Simplicity for your safety,"Jan 08, 2018",22 days ago
ADHIVE (Pre-ICO),AI-controlled Platform for Influencer Marketing,"Jan 30, 2018",3h ago
ATFS Project,AgriTech & Food Science Project,"Jan 10, 2018",20 days ago
ARNA Genomics,Biotech Ecosystem,"Dec 15, 2017",46 days ago
TravelChain,Data Exchange For The Travel Agency,"Dec 11, 2017",50 days ago
ConnectJob (Pre-ICO),Uber of Service,"Dec 01, 2017",60 days ago
Mimic,First Social Cryptocurrency,"Dec 29, 2017",32 days ago
EBCoin,Instant Travel Tax Refunds,"Jan 16, 2018",14 days ago
HireMatch,Employee Recruitment Platform,"Nov 15, 2017",76 days ago
Live Stars,Live Broadcast Entertainment Platform,"Jan 15, 2018",15 days ago
Scorum,Blockchain Powered Sports Media,"Jan 14, 2018",15 days ago
Dogezer,Generation Platform,"Jan 15, 2018",15 days ago
Rocket ICO,Start-up accelerator platform,"Nov 15, 2017",76 days ago
Vaultbank (Pre-ICO), Investment platform,"Jan 18, 2018",12 days ago
GRAFT,Enabling Crypto at Point-of-Sale,"Jan 18, 2018",12 days ago
PARKGENE ICO,"Peer-to-Peer ""AirBnB like"" Parking","Jan 15, 2018",15 days ago
Cryder,Decentralized taxi platform,"Jan 20, 2018",10 days ago
BlitzPredict,Sportsbook and Prediction Market Aggregator,"Jan 22, 2018",8 days ago
Local World Forwarders,Decentralized Logistics Platform,"Jan 23, 2018",7 days ago
MARK.SPACE,Socio-economic 3D/VR Ecosystem,"Jan 23, 2018",7 days ago
CoinLion, Exchange and portfolio management platform,"Dec 18, 2017",43 days ago
Pinnacle Brilliance ICO,All-in-One Automated Trading Platform,"Jan 15, 2018",15 days ago
DADI,Decentralized web services,"Jan 29, 2018",1 day ago
Lina Review,Community-driven Review Platform,"Jan 15, 2018",15 days ago
CinemaWell.com,Social Network of Online Cinemas,"Jan 18, 2018",12 days ago
Blocklancer,Freelance on the Blockchain,"Jan 16, 2018",14 days ago
NaPoleonX,100% algorithmic crypto asset manager,"Jan 22, 2018",8 days ago
Lucyd,Blockchain fueled smartglasses,"Nov 01, 2017",90 days ago
Daneel,The first A.I created to help cryptocurrency investors,"Jan 29, 2018",1 day ago
Restart Energy Democracy,Decentralization and storage of electrical energy,"Jan 15, 2018",15 days ago
Gilgamesh,Knowledge-sharing Social Platform,"Jan 15, 2018",14 days ago
Forty Seven Bank,Innovative Bank-as-a-Service Solution for Fintech Developers ,"Dec 16, 2017",45 days ago
WHITESTONE COIN,Art Trading Blockchain Platform,"Jan 25, 2018",5 days ago
EOS,The Most Powerful Infrastructure for Decentralized Applications,"Jun 26, 2017",218 days ago
Sapien (Pre-ICO),Decentralized Social News Platform,"Jan 31, 2018",in 14h
GoNetwork,Network infrastructure for Ethereum,"Jan 31, 2018",in 17h
LiveTree ADEPT,Advanced Decentralized Entertainment Platform for Transparent distribution,"Jan 31, 2018",in 18h
Mira,Cryptocurrency,"Feb 01, 2018",in 1 day
SimplyVital Health,Propelling the healthcare infrastructure forward,"Feb 01, 2018",in 1 day
CREDITS,Financial system,"Feb 01, 2018",in 1 day
Winding Tree,Decentralised Travel Distribution,"Feb 01, 2018",in 1 day
Medicalchain,Secure Storage and Transfer of Electronic Health Records,"Feb 01, 2018",in 1 day
Ellcrys (Pre-ICO),Decentralized Git Hosting Network,"Feb 01, 2018",in 1 day
OnPlace,Decentralized Over-the-Counter Investment Industry,"Feb 01, 2018",in 1 day
Persona ,Zero Knowledge Identity Blockchain ,"Feb 01, 2018",in 1 day
KickCity,Connecting​ ​People​​,"Feb 01, 2018",in 1 day
WePower,Blockchain energy trading platform,"Feb 01, 2018",in 1 day
ArcBlock,Building and Deploying Decentralized Blockchain Apps,"Feb 03, 2018",in 3 days
Metronome,Cross-Blockchain Cryptocurrency,"Feb 05, 2018",in 5 days
PolySwarm,First decentralized antivirus marketplace,"Feb 06, 2018",in 7 days
GPCC,Global Protected Crypto Copyright,"Feb 07, 2018",in 7 days
Kryll.io,Intuitive Automated Trading Platform,"Feb 07, 2018",in 7 days
SocialMediaMarket,New Generation of Advertising,"Feb 09, 2018",in 9 days
Neurogress (Pre-ICO),Mechatronic Systems Control Via Neural Interface,"Feb 10, 2018",in 10 days
Healthureum,"Your Data, Your Doctor, Your way","Feb 10, 2018",in 10 days
Scrinium,Portfolio investment solution,"Feb 11, 2018",in 11 days
REMME,Authentication DApp,"Feb 13, 2018",in 13 days
Thrive ,Ad Marketplace,"Feb 15, 2018",in 15 days
Dragon Inc.,Bringing Gaming into the 21st Century,"Feb 15, 2018",in 15 days
concertVR - Simply BE there! (Pre-ICO),Live Concerts in VR,"Feb 15, 2018",in 15 days
Coinvest,Investment Trading Market,"Feb 16, 2018",in 16 days
ODEM.IO,On Demand Education Marketplace,"Feb 17, 2018",in 17 days
Requitix,Confidence System,"Feb 20, 2018",in 20 days
Bitnation,The Internet of Sovereignty,"Feb 28, 2018",in 28 days
NaviAddress,Digital Address Platform,"Feb 28, 2018",in 28 days
Luxcess Group,Investment Found With Zero Commission,"Mar 01, 2018",in 29 days
REME-Coin,Up To 100% Cashback ,"Mar 01, 2018",in 29 days
LeadCoin,Decentralized Lead Sharing Network​ ,"Mar 01, 2018",in 29 days
VLB,Blockchain Fuel for the Vehicle Lifecycle Industry,"Mar 12, 2018",in 40 days
Streamity,Decentralised Cryptocurrency Exchange P2P-Platform,"Mar 12, 2018",in 40 days
MedCredits (Pre-ICO),The fastest way to a diagnosis,"Mar 15, 2018",in 43 days
Cappasity,Decentralized Ecosystem for AR/VR/3D Content,"Mar 22, 2018",in 50 days
Telegram ICO (TON),Ultra-Fast Blockchain technology from Telegram messenger,TBD,in 50 days
Minerva,Smart money,TBD,in 50 days
AMLT,The Token Of Compliance,"Dec 12, 2017",49 days ago
Shping (Pre-ICO),Shopper Marketing and Rewards,"Jan 22, 2018",8 days ago
Experty.io (Pre-ICO),Calls powered by cryptocurrencies,"Jan 25, 2018",5 days ago
Viola (Pre-ICO),A.I. Driven Marketplace,"Jan 01, 2018",29 days ago
Ink Protocol,Reputation ​and Payments ​for ​p2p Marketplaces,"Jan 22, 2018",7 days ago
Pundi X,Cryptocurrency exchanger,"Jan 21, 2018",9 days ago
Tap Project,Multiplatform In-game Currency,"Dec 09, 2017",52 days ago
Mobius,"Connecting every developer, device and data stream","Jan 18, 2018",11 days ago
Titanium Blockchain Infrastructure Services,Technology Infrastructure Via Blockchain,"Jan 01, 2018",29 days ago
bluzelle,Decentralized Database Service for dApps,"Jan 18, 2018",12 days ago
AidCoin,Charity,"Jan 16, 2018",14 days ago
OriginTrail,Supply chains based on Blockchain,"Jan 15, 2018",15 days ago
InsurePal,Distributed social proof insurance,"Jan 16, 2018",14 days ago
SingularityNET,Marketplace for AI,"Dec 21, 2017",40 days ago
Zabercoin,Cryptocurrency,"Dec 01, 2017",60 days ago
Envion AG,Crypto Infrastructure,"Dec 15, 2017",46 days ago
SETHER,The bridge between the Blockchain and all social networks​,"Jan 14, 2018",16 days ago
GATCOIN,A Digital Token Distribution System For Mainstream Enterprises,"Jan 14, 2018",16 days ago
SelfKey,Identity Network,"Jan 13, 2018",17 days ago
X8 Project,Crypto currency save haven,"Jan 04, 2018",26 days ago
adbank,Advertising Platform,"Dec 14, 2017",47 days ago
Crowdholding,Decentralized Open Innovation Platform,"Nov 01, 2017",90 days ago
MeetnGreetMe,Travel concierge service and lifestyle management,"Dec 11, 2017",50 days ago
SwissBorg,Swiss Private Cyber Bank,"Dec 07, 2017",54 days ago
Qurito ,Curiosity Redefined and Incentivised,"Dec 08, 2017",53 days ago
Neuromation,Distributed Synthetic Data Platform for Deep Learning Applications,"Jan 07, 2018",23 days ago
U.CASH,Cash meet digital currencies,"Sep 08, 2017",144 days ago
Skychain,Medical Neural Networks Infrastructure,"Dec 18, 2017",43 days ago
Crypterium,Digital mobile cryptobank,"Oct 31, 2017",91 days ago
Gameflip - FLIP (FLP),Buying and selling gaming digital goods,"Dec 04, 2017",56 days ago
trade.io,Blockchain Trading Platform,"Dec 28, 2017",33 days ago
Jibrel Network,Traditional assets on-chain,"Nov 27, 2017",64 days ago
Bloom,Decentralized credit scoring,"Nov 30, 2017",61 days ago
Aston,The Next Document Distribution Platform,"Dec 18, 2017",43 days ago
CryptoNetix,Blockchain analytics,"Nov 15, 2017",76 days ago
ODMCoin, Investment Blockchain option in the oil and gas sector,"Dec 01, 2017",60 days ago
Loci,Intellectual Property Discovery & Mining,"Dec 06, 2017",55 days ago
Gladius,Decrease Load Times. Fight DDoS Attacks.,"Nov 24, 2017",67 days ago
Styras,Internet connectivity everywhere,"Dec 01, 2017",60 days ago
Spectiv,Virtual reality streaming platform,"Dec 22, 2017",39 days ago
BactoAlarm,BioSensor,"Dec 14, 2017",47 days ago
Telcoin,Financial Inclusion for a mobile world,"Dec 11, 2017",50 days ago
STK token,Cryptocurrency,"Dec 29, 2017",32 days ago
NAU,Connects retailers with customers,"Nov 29, 2017",62 days ago
BANKEX,Proof-of-Asset Protocol,"Nov 28, 2017",63 days ago
FOODCOIN ECOSYSTEM,FoodCoin for business and social activity,"Dec 12, 2017",49 days ago
CyberTrust (Pre-ICO),A Gateway to Crypto Securitisation,"Nov 29, 2017",62 days ago
REALISTO,Decentralized real estate investing,"Nov 17, 2017",74 days ago
INS Ecosystem,Connecting Grocery Manufacturers and Consumers,"Dec 04, 2017",57 days ago
United Traders,The High-End Solutions in Trading Technology,"Nov 29, 2017",62 days ago
Zen Protocol,A Blockchain Built for Finance,"Nov 30, 2017",61 days ago
Hdac,IoT Platform from Hyundai,"Nov 27, 2017",64 days ago
Qlink,Open-source Telecom Infrastructure,"Dec 22, 2017",39 days ago
TraderStars.io,Financial skills tournament platform,"Nov 21, 2017",70 days ago
AppCoins,App-based Transactions Protocol,"Dec 13, 2017",48 days ago
CommerceBlock,Blockchain infrastructure as a Service,"Nov 28, 2017",63 days ago
